iter	Passed	Remaining
0	0	28
1	0	27
2	0	26
3	1	24
4	1	26
5	1	26
6	1	25
7	2	25
8	2	25
9	2	25
10	3	25
11	3	25
12	3	24
13	3	24
14	4	24
15	4	23
16	4	23
17	5	23
18	5	22
19	5	22
20	5	21
21	6	21
22	7	23
23	7	23
24	7	23
25	7	22
26	8	22
27	8	21
28	8	21
29	9	21
30	9	20
31	9	20
32	9	20
33	10	19
34	10	19
35	10	19
36	10	18
37	11	18
38	11	18
39	11	17
40	12	17
41	12	16
42	12	16
43	12	16
44	12	15
45	13	15
46	13	15
47	13	14
48	14	14
49	14	14
50	14	13
51	14	13
52	15	13
53	15	13
54	15	12
55	15	12
56	15	12
57	16	11
58	16	11
59	16	11
60	17	10
61	17	10
62	17	10
63	17	10
64	18	9
65	18	9
66	18	9
67	19	8
68	19	8
69	19	8
70	19	8
71	20	7
72	20	7
73	20	7
74	20	6
75	21	6
76	21	6
77	21	6
78	22	5
79	22	5
80	22	5
81	22	5
82	23	4
83	23	4
84	23	4
85	23	3
86	24	3
87	24	3
88	24	3
89	25	2
90	25	2
91	25	2
92	25	1
93	26	1
94	26	1
95	26	1
96	26	0
97	27	0
98	27	0
99	27	0
