iter	Passed	Remaining
0	59	59511
1	59	29865
2	60	19985
3	60	15034
4	60	12064
5	60	10087
6	61	8678
7	61	7618
8	61	6796
9	62	6139
10	62	5603
11	62	5158
12	62	4777
13	63	4450
14	63	4169
15	63	3924
16	64	3710
17	64	3516
18	64	3344
19	65	3187
20	65	3048
21	65	2920
22	66	2807
23	66	2700
24	66	2602
25	67	2513
26	67	2428
27	67	2350
28	67	2276
29	68	2207
30	68	2143
31	68	2086
32	69	2031
33	69	1978
34	69	1928
35	70	1880
36	70	1835
37	70	1791
38	71	1750
39	71	1713
40	71	1677
41	71	1641
42	72	1608
43	72	1576
44	72	1545
45	73	1516
46	73	1488
47	73	1461
48	74	1437
49	74	1412
50	74	1389
51	74	1366
52	75	1343
53	75	1322
54	75	1301
55	76	1283
56	76	1264
57	76	1245
58	77	1228
59	77	1210
60	77	1194
61	77	1177
62	78	1161
63	78	1146
64	78	1131
65	78	1117
66	79	1105
67	79	1091
68	79	1078
69	80	1065
70	80	1052
71	80	1040
72	81	1029
73	81	1018
74	81	1007
75	81	996
76	82	985
77	82	975
78	82	965
79	83	955
80	83	945
81	83	936
82	83	925
83	83	915
84	84	907
85	84	898
86	84	890
87	85	881
88	85	874
89	85	867
90	86	859
91	86	851
92	86	844
93	86	836
94	87	829
95	87	823
96	87	816
97	88	810
98	88	803
99	88	796
100	88	790
101	89	785
102	89	778
103	89	772
104	89	766
105	90	761
106	90	755
107	90	749
108	91	744
109	91	739
110	91	735
111	92	731
112	92	726
113	92	721
114	93	716
115	93	711
116	93	705
117	93	700
118	94	696
119	94	691
120	94	686
121	94	681
122	94	677
123	95	673
124	95	669
125	95	665
126	96	660
127	96	656
128	96	652
129	96	648
130	97	644
131	97	640
132	97	636
133	98	633
134	98	629
135	98	626
136	98	622
137	99	618
138	99	615
139	99	611
140	99	607
141	99	603
142	100	599
143	100	596
144	100	593
145	100	589
146	101	586
147	101	582
148	101	579
149	101	576
150	102	573
151	102	570
152	102	567
153	102	564
154	102	561
155	103	557
156	103	554
157	103	551
158	103	548
159	103	545
160	104	542
161	104	539
162	104	537
163	104	534
164	105	532
165	105	529
166	105	527
167	105	524
168	106	522
169	106	519
170	106	517
171	106	514
172	107	512
173	107	510
174	107	507
175	107	505
176	108	503
177	108	500
178	108	498
179	108	496
180	109	494
181	109	492
182	109	490
183	110	487
184	110	485
185	110	483
186	110	482
187	111	479
188	111	477
189	111	476
190	111	474
191	112	471
192	112	469
193	112	468
194	113	466
195	113	464
196	113	462
197	113	461
198	114	459
199	114	457
200	114	455
201	114	454
202	115	452
203	115	450
204	115	448
205	115	447
206	116	445
207	116	443
208	116	441
209	116	440
210	117	438
211	117	436
212	117	435
213	118	433
214	118	431
215	118	430
216	118	428
217	119	426
218	119	425
219	119	423
220	119	422
221	120	420
222	120	419
223	120	417
224	120	415
225	120	414
226	121	412
227	121	411
228	121	409
229	121	408
230	122	406
231	122	405
232	122	404
233	123	402
234	123	401
235	123	399
236	123	398
237	123	397
238	124	395
239	124	394
240	124	393
241	125	391
242	125	390
243	125	389
244	125	387
245	126	386
246	126	385
247	126	383
248	126	382
249	127	381
250	127	379
251	127	378
252	127	377
253	128	376
254	128	375
255	128	373
256	129	373
257	129	372
258	129	370
259	129	369
260	130	368
261	130	367
262	130	366
263	131	365
264	131	364
265	131	363
266	131	361
267	132	360
268	132	359
269	132	358
270	132	357
271	133	356
272	133	355
273	133	354
274	133	353
275	134	352
276	134	351
277	134	350
278	135	349
279	135	348
280	135	347
281	136	346
282	136	345
283	136	344
284	136	343
285	137	342
286	137	341
287	137	340
288	138	339
289	138	338
290	138	337
291	138	336
292	139	336
293	139	335
294	139	334
295	140	333
296	140	332
297	140	331
298	141	330
299	141	329
300	141	328
301	141	327
302	142	326
303	142	326
304	142	325
305	143	324
306	143	323
307	143	322
308	144	322
309	144	321
310	144	320
311	144	319
312	145	318
313	145	317
314	145	316
315	145	315
316	146	314
317	146	314
318	146	313
319	146	312
320	147	311
321	147	310
322	147	309
323	148	309
324	148	308
325	148	307
326	148	306
327	149	305
328	149	305
329	149	304
330	150	303
331	150	302
332	150	301
333	150	301
334	151	300
335	151	299
336	151	298
337	152	298
338	152	297
339	152	296
340	152	295
341	153	294
342	153	294
343	153	293
344	154	292
345	154	291
346	154	290
347	154	290
348	155	289
349	155	288
350	155	287
351	155	287
352	156	286
353	156	285
354	156	284
355	156	283
356	157	283
357	157	282
358	157	281
359	158	281
360	158	280
361	158	279
362	159	279
363	159	278
364	159	277
365	159	276
366	160	276
367	160	275
368	160	274
369	160	273
370	161	273
371	161	272
372	161	271
373	161	271
374	162	270
375	162	269
376	162	269
377	163	268
378	163	267
379	163	266
380	163	266
381	164	265
382	164	264
383	164	264
384	164	263
385	165	262
386	165	261
387	165	261
388	165	260
389	166	259
390	166	259
391	166	258
392	166	257
393	167	257
394	167	256
395	167	255
396	167	255
397	168	254
398	168	253
399	168	253
400	169	252
401	169	251
402	169	251
403	169	250
404	170	249
405	170	249
406	170	248
407	170	248
408	171	247
409	171	246
410	171	246
411	172	245
412	172	245
413	172	244
414	173	243
415	173	243
416	173	242
417	173	242
418	174	241
419	174	240
420	174	240
421	174	239
422	175	239
423	175	238
424	175	237
425	175	237
426	176	236
427	176	235
428	176	235
429	177	234
430	177	234
431	177	233
432	177	232
433	178	232
434	178	231
435	178	231
436	179	230
437	179	230
438	179	229
439	179	228
440	180	228
441	180	227
442	180	227
443	181	226
444	181	226
445	181	225
446	181	224
447	182	224
448	182	223
449	182	223
450	182	222
451	183	222
452	183	221
453	183	220
454	183	220
455	184	219
456	184	219
457	184	218
458	185	218
459	185	217
460	185	217
461	186	216
462	186	216
463	186	215
464	186	215
465	187	214
466	187	214
467	187	213
468	188	213
469	188	212
